date,price,volume
2024-04-23,66841.66685207361,27748586313.20611
2024-04-24,66406.95244392671,23232230785.201836
2024-04-25,64279.51812857524,30939903322.025898
2024-04-26,64486.183359158975,24705345525.57077
2024-04-27,63802.330049258766,23302057197.884678
2024-04-28,63517.248743409626,19190483386.063873
2024-04-29,63030.433616681854,16180294651.046635
2024-04-30,63797.67963589958,27242983698.21234
2024-05-01,60749.47209216387,39533113322.04938
2024-05-02,58297.574075325494,51109380171.692604
2024-05-03,59135.1733607733,28255509745.49032
2024-05-04,62839.34073569376,33591665812.212433
2024-05-05,63820.451902924986,20510614461.479218
2024-05-06,64010.00865210892,18115695040.201984
2024-05-07,63172.48129551341,17917770174.27797
2024-05-08,62363.057191718624,19925137720.849453
2024-05-09,61215.50400879193,20303831135.373127
2024-05-10,63148.599943097026,25837724247.550426
2024-05-11,60888.21674957157,23987518755.480534
2024-05-12,60776.972079172134,12120618802.065384
2024-05-13,61507.054004121346,13045696108.912676
2024-05-14,62878.783300729294,27740460083.601814
2024-05-15,61569.1130057734,21581895152.31416
2024-05-16,66220.51831432826,38101793065.15294
2024-05-17,65260.879803346186,29114585833.349678
2024-05-18,67053.12326509564,25397793918.993534
2024-05-19,66912.61861403697,13025487675.845129
2024-05-20,66252.71259591613,9072734600.009218
2024-05-21,71430.29700215145,35923476641.4359
2024-05-22,70189.8358177002,41105056578.01701
2024-05-23,69181.20085677762,31059440495.91766
2024-05-24,67906.46534276106,39235702119.25446
2024-05-25,68539.91646552991,28127411967.182774
2024-05-26,69268.44558973772,15929396750.116022
2024-05-27,68508.83110875699,11243743771.147913
2024-05-28,69367.23871755725,18983806932.464344
2024-05-29,68316.63588049631,31278122196.184998
2024-05-30,67577.26558995963,24320692137.62038
2024-05-31,68372.49288434093,25344376897.716885
2024-06-01,67474.95483698409,19685305476.459476
2024-06-02,67704.32641811523,10724053324.55672
2024-06-03,67740.01690222476,16137350587.750422
2024-06-04,68808.29368590549,29862293749.910686
2024-06-05,70600.01116676089,31561053725.144592
2024-06-06,71184.59943059199,32560403314.989147
2024-06-07,70759.58819301432,23612879689.560955
2024-06-08,69325.36238847222,18597495569.911568
2024-06-09,69315.1041233966,10688301508.476225
2024-06-10,69654.16073760358,10461044041.080194
2024-06-11,69493.17760915738,19335866773.67523
2024-06-12,67329.15232724321,38513044382.60802
2024-06-13,68224.51967501991,36027809551.45211
2024-06-14,66700.31696564378,29654777884.381138
2024-06-15,66011.07873713733,27966992832.749634
2024-06-16,66190.4874891135,13472726244.723091
2024-06-17,66615.53782131766,12650130203.722813
2024-06-18,66460.38897909952,29409728999.276093
2024-06-19,65109.314812190474,41386972050.31837
2024-06-20,64907.07460760319,21680698980.889107
2024-06-21,64844.67441797763,26001551474.84426
2024-06-22,64071.624284709695,24694310198.90943
2024-06-23,64239.90348813148,6340606686.24879
2024-06-24,63221.35738437477,10748270931.518738
2024-06-25,60363.23497529626,42036553106.89028
2024-06-26,61770.413870095355,21105562261.648533
2024-06-27,60749.89619402014,22908540918.971207
2024-06-28,61562.64532550036,18855138893.067604
2024-06-29,60317.09697945116,24399416695.150173
2024-06-30,60864.44316193428,11435110883.886795
2024-07-01,62734.39383945474,17373592048.120487
2024-07-02,62819.82226921849,25573074910.689686
2024-07-03,62042.5650371006,18100530101.689426
2024-07-04,60244.68076433092,30348692427.02443
2024-07-05,57189.17412408636,43112005394.93119
2024-07-06,56739.86285107204,60081357583.2773
2024-07-07,58230.4841542266,21293913670.919975
2024-07-08,55880.3753776708,20211914621.326435
2024-07-09,56665.140733520275,41614266908.30467
2024-07-10,57988.30351208401,28413854577.262756
2024-07-11,57704.202284462874,25987656347.278587
2024-07-12,57388.192479166675,29196653598.752666
2024-07-13,57899.28895749592,25504482306.198975
2024-07-14,59152.71913887286,16765547593.243273
2024-07-15,60942.32773996293,21295520563.65442
2024-07-16,64835.48973321571,37810068492.862465
2024-07-17,65162.23625234354,40914441633.09575
2024-07-18,64136.31384360687,33459451713.593426
2024-07-19,63959.56900809379,25976148878.632153
2024-07-20,66689.54880734957,36994610752.230415
2024-07-21,67206.06470614894,17353396168.041622
2024-07-22,68088.13996324532,27078771827.95196
2024-07-23,67607.71339918874,43157593651.80313
2024-07-24,65942.41746522837,36100536095.18872
2024-07-25,65403.53513022529,28680123269.715443
2024-07-26,65749.96361965332,35836896135.542854
2024-07-27,67920.2964857025,30821370069.206276
2024-07-28,68055.40838968738,30976752616.761925
2024-07-29,68242.2474440493,17175244020.36542
2024-07-30,66770.32091848266,42529043667.45024
2024-07-31,66219.05102486102,28892376510.689587
2024-08-01,64679.778647032515,31403681581.194077
2024-08-02,65357.52960767435,38911302447.60912
2024-08-03,61407.29547397454,39004321616.3716
2024-08-04,60738.7449250574,32885545023.712658
2024-08-05,58006.206586686734,33664501541.451115
2024-08-06,53956.26184159744,120245972389.37173
2024-08-07,55959.84107399357,52620100833.47091
2024-08-08,55099.95181146735,41605918903.41173
2024-08-09,61859.03159904161,49201548320.290726
2024-08-10,60912.588533350805,33804208928.47938
2024-08-11,60887.70861641504,13418919090.197285
2024-08-12,58804.23449992608,21715994493.456894
2024-08-13,59350.07433270696,39403296385.84335
2024-08-14,60601.22317789727,31955576195.246292
2024-08-15,58739.19382231015,28079911397.67297
2024-08-16,57624.11692852191,33490251842.381626
2024-08-17,58881.92579151217,30368238897.207172
2024-08-18,59430.79163445865,12467437134.05582
2024-08-19,58438.293742685404,17656027563.72502
2024-08-20,59574.945812940874,24031330179.258953
2024-08-21,59060.12610074137,31470716090.619144
2024-08-22,61144.68762866613,32960965010.60808
2024-08-23,60387.54062321362,28170302505.847404
2024-08-24,64049.68561555576,45038665759.42134
2024-08-25,64157.1606134782,22029153446.354362
2024-08-26,64265.81631272862,17875230147.044323
2024-08-27,62922.58634676265,17894692681.091812
2024-08-28,59526.560879590994,38131727427.91789
2024-08-29,59015.29633887944,42018989572.42786
2024-08-30,59351.5794909728,32563333956.986053
2024-08-31,59156.246036463555,44038496614.947586
2024-09-01,58960.23658664587,11399086336.303324
2024-09-02,57357.71617282246,25465621877.97047
2024-09-03,59108.73235863689,28012782290.96625
2024-09-04,57504.538586220435,26829983370.35861
2024-09-05,57987.84601410068,37550380696.7459
2024-09-06,56132.404732088595,30005773445.693718
2024-09-07,53923.35611071905,50260816556.81667
2024-09-08,54150.9383589072,17048448412.007126
2024-09-09,54792.40755768575,18644823662.23431
2024-09-10,57049.118751143265,35655419448.07046
2024-09-11,57624.16178336144,29676093302.30697
2024-09-12,57381.764445000474,37765652735.2964
2024-09-13,58106.951229815284,34177859933.02337
2024-09-14,60620.62747295754,31919740723.76027
2024-09-15,60003.29940083042,15800120841.166773
2024-09-16,59214.80226801806,17289597542.866756
2024-09-17,58211.123231286256,32196570894.402115
2024-09-18,60317.0319794625,34191170117.78261
2024-09-19,61440.41208494509,40445339415.1129
2024-09-20,62966.52931910512,41959080716.28771
2024-09-21,63128.224540748255,35587830476.533394
2024-09-22,63403.402349259355,12938083115.659332
2024-09-23,63582.59956924825,20349365412.816723
2024-09-24,63327.02654450202,23998847798.757656
2024-09-25,64334.14274876097,31490984593.70592
2024-09-26,63151.89959401337,26087643765.748165
2024-09-27,65130.76884023231,37995568903.94455
2024-09-28,65791.00212541742,32664917503.931107
2024-09-29,65934.10709441357,15342911002.84781
2024-09-30,65663.68986662335,12948707838.938381
2024-10-01,63243.27532464382,35124446789.27111
2024-10-02,60872.668543725544,54251488433.95029
2024-10-03,60655.55979196848,41870731291.86736
2024-10-04,60727.86395169296,37711138441.76231
2024-10-05,62103.01047283253,30349059838.684578
2024-10-06,62091.932585194016,11095453162.990673
2024-10-07,62811.79972811266,14592422860.685436
2024-10-08,62287.39010510681,33878876147.30253
2024-10-09,62185.230423727575,28626429276.55382
2024-10-10,60597.15045618275,28530748117.898792
2024-10-11,60195.18073772453,29481971885.649742
2024-10-12,62392.34048293159,32008659336.482643
2024-10-13,63207.77062127557,17665963646.417107
2024-10-14,62829.533686088886,16784552979.060463
2024-10-15,66049.99492708022,46553796134.14602
2024-10-16,66962.21994496793,51797932876.82809
2024-10-17,67647.54414766871,40640495380.19594
2024-10-18,67328.10527002988,34512072357.92087
2024-10-19,68465.61920668735,39984956633.228035
2024-10-20,68388.87128965274,14110889435.452631
2024-10-21,68962.82918045693,17253863432.786995
2024-10-22,67394.85775735618,40485496091.95008
2024-10-23,67351.04793512498,31398389967.38113
2024-10-24,66683.96806542306,32676918488.059
2024-10-25,68214.05205157402,35892606570.03549
2024-10-26,66585.66535501445,48426924850.053406
2024-10-27,67018.1650170265,21169467789.89267
2024-10-28,67938.55412885673,16533385730.434193
2024-10-29,69845.304531169,41990540384.96554
2024-10-30,72781.11308158132,65487782004.97014
2024-10-31,72342.62171127986,43498144313.67304
2024-11-01,70264.99735573279,45907074188.570145
